QQNO,system,animal_type,breed,age,live_weight_LW,mature_weight_MW,weight_gain_WG,milk_yield,milk_fat,kg_FPCM_year,Cfi,Ca,Cp,C,dig_energy,Ym,NEm,NEa,NEl,NEp,NEg,REM,REG,GE,EntFerm kgCH4,ASH,VS,bo,mms_pasture,mms_spread,mms_drylot,mms_solidstore,mms_composted,mms_liquid,mms_biogas,mms_burn,MMS%sold,MCFpasture,MCFspread,MCFdrylot,MCFsolidstore,MCFcomposted,MCFliquid,MCFbiogas,MCFburn,MCFsold,Sum of MCF*MMS,MMCH4EF,CP%,N_intake,N_retention,Nex,EF3pasture dep,EF3spread,EF3drylot,EF3solidstore,EF3composted,EF3liquid,EF3biogas,EF3burn,EF3sold,Fracgas/100pasture dep,Fracgas/100spread,Fracgas/100drylot,Fracgas/100solidstore,Fracgas/100composted,Fracgas/100liquid,Fracgas/100biogas,Fracgas/100burn,Fracgas/100sold,Fracleach/100pasture dep,Fracleach/100spread,Fracleach/100drylot,Fracleach/100solidstore,Fracleach/100composted,Fracleach/100liquid,Fracleach/100biogas,Fracleach/100burn,Fracleach/100sold,N2O_direct (kgN2O),EF4,N_volat (kgN2O),EF5,N_leach kgN2O,feed_kgCO2,feed transport_kgCO2,% of year present,EntFerm_kgCO2e,MMCH4_kgCO2e,N2O_direct_kgCO2e,N_volat_kgCO2e,Nleach_kgCO2e,feed_kgCO2,feed_transport_kgCO2,On-farm total kgCO2e,ann FPCM adjusted
4,3,10,4,1,87.20963523,348.7317615,0.419705907,0,0,0,0.322,0.007152205,0,0.8,55.74863048,6.5,9.189232167,0.065723274,0,0,3.551610279,0.474255095,0.246120029,60.88960226,25.95877473,0.08,1.46502231,0.135,0,0,0,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.005,0.241833064,9.351449784,0.049379387,0.014002138,17.7711091,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.167556172,0.01,0.083778086,0.0075,0.063,64.69148993,1.321066031,0.115068493,74.6759273,0.695684157,5.74556998,2.87278499,2.154588743,7.443952266,0.152013078,93.74052051,0
5,3,5,1,72,382.0679561,348.7317615,0,6.994332967,4,2579.992607,0.375479452,0.068031537,0.054448399,0.8,66.51940271,6.5,32.4482767,2.207506124,21.47260221,1.766756703,0,0.518782724,0.316394701,167.767671,71.52359379,0.08,3.135495888,0.17,0.5,0,0,0,0.3,0.1,0.1,0,0,0.015,0,0,0,0.005,0.2,0.1,0,0,0.039,5.083787994,10.62725793,0.154615528,0.036177584,54.3929979,0.02,0,0,0,0.006,0.005,0,0,0,0.2,0,0,0,0.3,0.4,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,1.051338945,0.01,0.196591835,0.0075,0.173,2860.531643,127.793412,1,1788.089845,127.0946999,313.2990057,58.58436691,51.57971435,2860.531643,127.793412,5326.972686,2579.992607
5,3,5,1,60,420.2462003,348.7317615,0,5.284400768,4,1949.251627,0.375479452,0.069670845,0.076512456,0.8,66.25708494,6.5,34.85090193,2.428091772,16.22311036,2.666528084,0,0.517952194,0.315066722,163.6710416,69.77709727,0.08,3.080340621,0.17,0.5,0,0,0,0.3,0.1,0.1,0,0,0.015,0,0,0,0.005,0.2,0.1,0,0,0.039,4.994361091,10.14538921,0.144000557,0.027333107,51.12356951,0.02,0,0,0,0.006,0.005,0,0,0,0.2,0,0,0,0.3,0.4,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0.988145565,0.01,0.184775187,0.0075,0.163,2896.866185,154.8963555,1,1744.427432,124.8590273,294.4673784,55.06300571,48.47938546,2896.866185,154.8963555,5319.058769,1949.251627
5,3,6,1,48,329.1171352,348.7317615,0,7.252749925,4,2675.314612,0.386,0.063754614,0,0.8,67.39931077,6.5,29.82635449,1.901567718,22.26594227,0,0,0.521493999,0.320735825,153.6171282,65.49086012,0.08,2.80362783,0.17,0.5,0,0,0,0.3,0.1,0.1,0,0,0.015,0,0,0,0.005,0.2,0.1,0,0,0.039,4.545708243,10.8193446,0.144133259,0.037514224,50.63506734,0.02,0,0,0,0.006,0.005,0,0,0,0.2,0,0,0,0.3,0.4,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0.978703516,0.01,0.183009601,0.0075,0.161,2847.304824,117.9271606,1,1637.271503,113.6427061,291.6536477,54.53686096,48.01614932,2847.304824,117.9271606,5110.352852,2675.314612
5,3,12,1,24,215.763282,348.7317615,0.26005656,0,0,0,0.322,0.068770125,0.1,0.8,68.04781891,6.5,18.12754644,1.246633639,0,1.812754644,4.144228968,0.523420895,0.323826767,78.29125102,33.37753694,0.08,1.403556605,0.135,0.5,0,0,0,0.3,0.1,0.1,0,0,0.015,0,0,0,0.005,0.2,0.1,0,0,0.039,1.807157377,10.9227745,0.074160016,0.006489797,26.89273726,0.02,0,0,0,0.006,0.005,0,0,0,0.2,0,0,0,0.3,0.4,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0.519798193,0.01,0.097198036,0.0075,0.086,1420.724737,56.77974598,1,834.4384234,45.17893442,154.8998615,28.96501476,25.50180647,1420.724737,56.77974598,2566.488523,0
5,3,9,1,12,183.2562623,348.7317615,0.26005656,0,0,0,0.322,0.066019182,0,0.8,63.58200308,6.5,16.03799191,1.0588151,0,0,3.666525465,0.508858809,0.30057824,72.02756954,30.70717138,0.08,1.451660313,0.135,0.5,0,0,0,0.3,0.1,0.1,0,0,0.015,0,0,0,0.005,0.2,0.1,0,0,0.039,1.869093583,9.901010357,0.061844615,0.007027117,22.41465921,0.02,0,0,0,0.006,0.005,0,0,0,0.2,0,0,0,0.3,0.4,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0.433243342,0.01,0.081012983,0.0075,0.071,496.7523419,36.21527021,1,767.6792845,46.72733957,129.1065158,24.1418688,21.25534101,496.7523419,36.21527021,1521.877962,0
5,3,8,1,5,116.1671954,483.2014829,0.342166925,0,0,0,0.322,0.058908275,0,1.2,62.83932311,6.5,11.39379759,0.671188963,0,0,2.033325608,0.506119259,0.296230414,48.85830585,20.82952931,0.08,1.002795483,0.135,0.5,0,0,0,0.3,0.1,0.1,0,0,0.015,0,0,0,0.005,0.2,0.1,0,0,0.039,1.29115509,9.720178034,0.041184731,0.012385033,14.84624977,0.02,0,0,0,0.006,0.005,0,0,0,0.2,0,0,0,0.3,0.4,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0.286956799,0.01,0.053658588,0.0075,0.047,256.1658785,23.91819422,0.619178082,322.4297004,19.9863733,52.94785346,9.900818126,8.717024655,158.6122974,14.80962163,587.4036889,0
5,3,7,1,4,102.3456462,348.7317615,0.419705907,0,0,0,0.322,0.057071958,0,0.8,63.0077132,6.5,10.36114856,0.591331037,0,0,4.004552401,0.506749074,0.297229312,55.68549949,23.74013433,0.08,1.138244926,0.135,0.5,0,0,0,0.3,0.1,0.1,0,0,0.015,0,0,0,0.005,0.2,0.1,0,0,0.039,1.465553799,9.770786544,0.047184055,0.013492669,16.98980674,0.02,0,0,0,0.006,0.005,0,0,0,0.2,0,0,0,0.3,0.4,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0.328388693,0.01,0.061406016,0.0075,0.054,253.6564425,22.04633625,0.449315068,266.6700021,16.46238514,43.96989648,8.222013163,7.238946372,113.9716618,9.905751083,466.4406561,0
6,2,5,1,47.74966655,343.2234984,348.7317615,0,4.662888645,4,1719.995071,0.375479452,0.008638987,0.054448399,0.8,56.41338514,6.5,29.94118162,0.258661466,14.31506814,1.630249391,0,0.477743286,0.251570411,171.2179958,72.99455438,0.08,4.062802189,0.17,0.1,0,0,0.9,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0375,6.333934006,9.507521771,0.141169329,0.02411839,50.28406146,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.513615771,0.01,0.229151652,0.0075,0.178,398.6623638,3.514829004,1,1824.863859,158.3483501,153.0574997,68.28719215,52.98144219,398.6623638,3.514829004,2659.715536,1719.995071
6,2,9,1,12,110.503887,348.7317615,0.26005656,0,0,0,0.322,0.007588278,0,0.8,55.89244558,6.5,10.97460853,0.083278381,0,0,2.508960091,0.475019723,0.247314142,59.79989898,25.49420671,0.08,1.434515308,0.135,0.1,0,0,0.9,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0375,1.775979262,9.234058899,0.047886898,0.008329147,17.33313486,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.177045592,0.01,0.078989572,0.0075,0.061,82.90972461,1.190041284,0.701369863,447.0217067,31.1404583,37.00398385,16.50946972,12.80907133,58.15038219,0.834659092,603.4697312,0
6,2,6,1,58.97023674,400.6507119,348.7317615,0,8.986456659,4,3314.825281,0.373224548,0.009033915,0.080518256,0.8,56.59154719,6.5,33.42293926,0.301939992,27.58842194,2.691156787,0,0.478658421,0.253001584,236.2832594,100.733519,0.08,5.585733254,0.17,0.1,0,0,0.9,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0375,8.708193054,9.762371037,0.20003771,0.046481672,69.61996244,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.711118188,0.01,0.317268115,0.0075,0.246,597.4780161,3.981229023,1,2518.337974,217.7048264,211.91322,94.54589813,73.35457614,597.4780161,3.981229023,3717.31574,3314.825281
7,2,5,1,48,352.0322539,348.7317615,0,8.858869336,4,3267.762273,0.375479452,0.021734726,0.053736655,0.8,53.54323861,6.5,30.51567758,0.663249888,27.19672886,1.639810432,0,0.461799159,0.226714765,242.7199166,103.4776284,0.08,6.106835796,0.17,0.5,0,0,0.5,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0275,6.981769794,7.45030036,0.156820491,0.045821738,54.61666666,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,1.072827381,0.01,0.214565476,0.0075,0.193,295.9123741,0,1,2586.940711,174.5442449,319.7025595,63.94051189,57.5464607,295.9123741,0,3498.586862,3267.762273
7,2,4,1,48,369.8719503,348.7317615,0,8.858869336,4,3267.762273,0.375479452,0.022005002,0.086344342,0.8,53.54323861,6.5,31.66829802,0.696860947,27.19672886,2.734378344,0,0.461799159,0.226714765,251.9441296,107.4101433,0.08,6.338917096,0.17,0.5,0,0,0.5,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0275,7.247101672,7.45030036,0.162780222,0.045821738,56.69229263,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,1.113598605,0.01,0.222719721,0.0075,0.2,311.0151683,0,1,2685.253582,181.1775418,331.8523844,66.37047687,59.73342918,311.0151683,0,3635.402583,3267.762273
7,2,9,1,24,233.3105627,348.7317615,0.26005656,0,0,0,0.322,0.022867699,0,0.8,54.05103851,6.5,19.22235849,0.439571099,0,0,4.394519421,0.464793191,0.231371453,113.4037148,48.34686673,0.08,2.824523556,0.135,0.5,0,0,0.5,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0275,2.564361988,7.589090021,0.074634667,0.00620827,27.07252981,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.531781836,0.01,0.106356367,0.0075,0.096,280.0568879,1.763263341,1,1208.671668,64.10904969,158.470987,31.6941974,28.52477766,280.0568879,1.763263341,1773.290831,0
8,3,5,2,66.47132682,337.1125393,348.7317615,0,6.972835819,4,2572.062976,0.379101642,0.078082592,0.014000783,0.8,57.05885368,6.5,29.82543904,2.328847586,21.40660597,0.417579497,0,0.481020093,0.256697467,196.6682835,83.84465454,0.08,4.603408075,0.17,0.5,0,0,0.5,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0275,5.262944104,9.884285931,0.168578909,0.036066392,59.31208981,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,1.165058907,0.01,0.233011781,0.0075,0.21,496.7249675,2.307958854,1,2096.116363,131.5736026,347.1875543,69.43751086,62.49375977,496.7249675,2.307958854,3205.841717,2572.062976
8,3,12,1,28.45945946,290.480954,348.7317615,0.26005656,0,0,0,0.322,0.088570624,0.1,0.8,56.09924641,6.5,22.65656771,2.006706336,0,2.265656771,5.179631149,0.476109511,0.249016667,137.8997325,58.79013753,0.08,3.293800009,0.135,0.5,0,0,0.5,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0275,2.990414266,9.144715108,0.109359676,0.005325176,39.70372061,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.779894512,0.01,0.155978902,0.0075,0.14,135.659783,0,1,1469.753438,74.76035666,232.4085646,46.48171291,41.83354162,135.659783,0,2000.897397,0
8,3,9,1,16,157.5413762,348.7317615,0.26005656,0,0,0,0.322,0.020729437,0,0.8,55.95153246,6.5,14.31864257,0.296817405,0,0,3.273456421,0.475332261,0.247802332,78.56412408,33.49386961,0.08,1.882327862,0.135,0.5,0,0,0.5,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0275,1.708950172,9.105292214,0.062035712,0.007469241,22.47390869,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.441451778,0.01,0.088290356,0.0075,0.079,88.85715787,0,1,837.3467402,42.72375429,131.5526298,26.31052596,23.67947336,88.85715787,0,1150.470281,0
9,3,5,5,48,273.222179,348.7317615,0,3.348847805,4,1235.286141,0.386,0.171984182,0,0.8,60.34417554,6.5,25.94025659,4.461313814,10.28096276,0,0,0.496155184,0.280475696,135.8798617,57.92901559,0.08,2.957935825,0.17,0.9,0,0,0.1,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0175,2.152005538,10.35633308,0.122035088,0.017321627,43.77125317,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,1.27249286,0.01,0.144445135,0.0075,0.155,408.0090389,2.307958854,1,1448.22539,53.80013844,379.2028723,43.04465037,46.11926826,408.0090389,2.307958854,2380.709317,1235.286141
9,3,5,5,108,308.3967881,348.7317615,0,3.837549441,4,1415.553025,0.373592767,0.183157971,0.067436868,0.8,60.32490036,6.5,27.49355153,5.035663123,11.78127678,1.854079015,0,0.496073375,0.2803467,154.2645965,65.76689222,0.08,3.359631378,0.17,0.9,0,0,0.1,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0175,2.444253614,10.41118696,0.139280438,0.019849394,49.82826923,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,1.44857897,0.01,0.164433288,0.0075,0.176,408.0090389,2.307958854,1,1644.172305,61.10634036,431.676533,49.00111996,52.50119996,408.0090389,2.307958854,2648.774497,1415.553025
9,3,8,5,9,108.2562676,483.2014829,0.342166925,0,0,0,0.322,0.163570211,0,1.2,60.06904423,6.5,10.80676379,1.767664631,0,0,1.928564149,0.494980069,0.278623301,53.81419145,22.94234847,0.08,1.178851033,0.135,0.9,0,0,0.1,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.0175,0.681080447,8.846450128,0.041284732,0.012502869,14.8805222,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.432598038,0.01,0.049105723,0.0075,0.053,46.94385436,0,1,573.5587116,17.02701118,128.9142154,14.63350553,15.67875593,46.94385436,0,796.7560541,0
