"","live_weight_LW","maintenaince_coefficient_Cfi","milk_yield","activity_coefficient_Ca","growth_coefficient_C","milk_fat","pregnancy_coefficient_Cp","mature_weight_MW","weight_gain_WG","dig_energy","bo","mms_pasture","mms_spread","mms_drylot","mms_solidstore","mms_composted","mms_liquid","mms_biogas","mms_burn","feed_prod_CO2","feed_trans_CO2","kg_FPCM_year","enteric_CH4","enteric_CO2","mm_CO2","mm_CO2_N2O","feed_CO2","on_farm"
"17",290.648803915893,0.350829315188696,3.49683735273035,0.0196819656269601,0.853271834316057,2.05297960050404,0.0322475680275812,367.695859083762,0.136517281354095,58.6309567251662,0.152778379685606,0.0925804316080334,0.0990935620746504,0.0336675993662693,0.551433918109163,0.12617344145486,0.0250386480470783,0.0468517645627343,0.000453689752496943,844.886149511305,5.25240028828101,1223.93078709918,0.00569230435519858,51.942277241187,3.58538296557426,0.0101622641597436,4437.68025525781,4493.22377003309
"18",291.716842432701,0.35078306763246,3.27565166251638,0.0194319650160871,0.858568295178489,2.07061104017549,0.034361871611773,368.218005003454,0.143805201241692,58.8800235234934,0.153162952244771,0.0922048730022971,0.0944238047599765,0.0331555492768033,0.562821425120629,0.12960149380403,0.0249377090125373,0.0523950074523157,0.00081252266697053,849.945025510041,4.96342261947194,1241.86819837492,0.00563250206569412,51.3965813494588,3.63932553028166,0.0108736846108164,4218.63636492419,4273.68877799061
"19",290.969737864935,0.350095677317869,3.48865377093408,0.0202760266392426,0.850800773638753,2.00520995892945,0.0347871914207138,367.275611571629,0.130174621846157,58.9449731450549,0.153013898159476,0.0814197608778147,0.102913824944526,0.0434493320605929,0.574242240123045,0.122796540245225,0.0226137388740479,0.0494844484010694,0.000859266711331367,882.727475844788,5.7751186064518,1245.46445655616,0.00560641125306294,51.1585026841993,3.58414559460783,0.0110724811961718,5097.85587017747,5152.61519734873
"20",291.867059245197,0.350071087408744,3.4810043270127,0.0187163765297182,0.86175845675548,1.99472139070985,0.0339674432520968,366.5038236812,0.139601290988857,58.7215770515358,0.153637779909458,0.0971757397278845,0.102694344686457,0.0367636296304287,0.551526844958383,0.129390626508602,0.0300110024659572,0.0557556701351994,0.000731450192918893,849.577355644996,5.16176191548459,1331.43055407942,0.00568122226292307,51.841153149173,3.80443909495322,0.0108903036038252,4385.31603862644,4440.97820239644
"21",291.682891373567,0.350293426021409,3.39172572075389,0.0192465637435238,0.853886913718999,2.07816689201236,0.0342375043857224,369.001474500752,0.127265799712251,58.9463664282237,0.153786060260542,0.0925090476948751,0.0967784163368084,0.0393591553497337,0.564317993937963,0.136260639049796,0.0318702377531388,0.0590319415410023,0.000895824329294895,845.874229334311,4.81395157276999,1323.03595558982,0.00557463736748141,50.8685659782679,3.8392182477317,0.0110078449634532,4071.99757666951,4126.72194337784
"22",284.935863268893,0.349820430762367,3.51004640480683,0.0194836786272814,0.852056396489043,2.12171797526203,0.0355679687779552,367.92611306338,0.140993942990976,58.9609276144632,0.153424913575389,0.0984815381184143,0.0993839588006589,0.0375046872862812,0.5240518744346,0.111332781949202,0.0253840281301167,0.0430219143324878,0.000609810540753733,825.993740700445,4.4401785255284,1279.15017507341,0.00561511338431624,51.2379096318857,3.39219148234415,0.0105876064028976,3667.55966967899,3722.20597351301
"23",286.449005115488,0.350827518468808,3.52999878853486,0.0189564136832524,0.861413818075049,2.11173642907604,0.0316286977971435,368.661314711631,0.138097831724812,58.8121811388172,0.153815091129101,0.0817338719149412,0.102500573773882,0.0380810267020232,0.563585987425926,0.105738544785397,0.0269648624728614,0.0486352398739576,0.000847303050399864,822.635866607655,5.77333727242376,1298.48658423044,0.00563537863205349,51.4228300174881,3.65210565561529,0.00979732823900328,4749.3543103186,4804.44467869857
"24",286.733769870054,0.351774583802621,3.32698500781072,0.0206096643797825,0.863546976863099,2.11627111516515,0.0312477210420272,366.888962969801,0.139218385723033,58.7169562465029,0.153246966878195,0.0921217798082073,0.101902676951333,0.0337023238676289,0.535738263082247,0.130922234322988,0.027431415577176,0.0543283932156674,0.000424568368206747,806.624834725842,5.75082822084483,1288.6231377426,0.00560664479941095,51.1606337946249,3.59920852801603,0.00963003928424711,4638.76086317566,4693.53594218239
"25",288.148322028015,0.349432173084852,3.55954661396924,0.0201636568115276,0.856282835616373,2.12838871383039,0.0333700322935484,365.871351727777,0.140394894102645,58.6609090938157,0.153259387989824,0.0849404716405192,0.102289874719905,0.0391740226610781,0.545174884414596,0.121690385295546,0.0269652677720864,0.0495056665350143,0.000622826028571744,821.90951195692,5.50754691110043,1247.13803641943,0.00570661553058458,52.0728667165843,3.64254110816944,0.0104654236990539,4526.7051937824,4582.43677364638
"26",289.142765834787,0.348746150098082,3.49173494035534,0.0196960153531544,0.852275899023431,2.04286265521889,0.0322363577734317,366.258673935008,0.132640987319033,58.8697464498112,0.15315928246671,0.0974458726929604,0.113566227025522,0.0267738547457428,0.54947908875765,0.120714327957762,0.0266767117638735,0.0518951712102037,0.00108805823994798,832.230018154751,4.86800183000134,1229.0295443731,0.00559288921678434,51.0351141031571,3.59689426457504,0.00997395288495574,4051.29725135938,4105.94482656921
"27",295.500693088216,0.348352994144836,3.4303671350439,0.0186842439343631,0.854663583237669,1.99997411150152,0.0339829954509492,366.886666015095,0.141569820312393,58.7329892952857,0.153542371329235,0.102448938542645,0.106583200819345,0.0369235005054916,0.574325269888632,0.121114956372877,0.0293890118705228,0.0491905664395027,0.000694133577713544,835.217499520797,4.40835627390444,1288.65681664884,0.00569990811563056,52.0116615551288,3.83294191167379,0.0111738553494709,3681.93630408728,3737.79778131755
"28",289.82210099461,0.349180284439728,3.6001957074136,0.0177914469502019,0.853938875527766,2.11364157811005,0.0349391357388219,369.106096664819,0.137251622367963,58.8860807600398,0.153467660808504,0.0911942442702634,0.107783202746198,0.0383414114337658,0.54837661686245,0.125103419615366,0.0253580762658722,0.0645146108881679,0.00123175199264992,870.224320988271,4.90127931121773,1368.16297883571,0.00567611378616087,51.794538298718,3.76324756066165,0.01103077073592,4265.21246057831,4320.78695332221
