"","VIP","Coefficient"
"live_weight_LW",1.1581667775262,0.0253985066232078
"maintenaince_coefficient_Cfi",0.23664663480714,0.00518964214665794
"milk_yield",1.16375208205843,0.0255209919136746
"activity_coefficient_Ca",0.0688061184996202,0.00150891278384152
"growth_coefficient_C",0.0906933182957072,-0.00198889735926836
"milk_fat",0.31129882929703,0.00682675891859502
"pregnancy_coefficient_Cp",0.172121369184722,0.00377460813076627
"mature_weight_MW",0.114576504275262,-0.00251265375520013
"weight_gain_WG",0.718354260642472,0.0157534526121603
"dig_energy",0.946398358407456,-0.0207544417959796
"bo",0.550066015826164,0.012062904598251
"mms_pasture",0.449589401617277,0.00985946032668175
"mms_spread",0.167072586675089,0.00366388872618797
"mms_drylot",0.376134873027274,0.00824860827402426
"mms_solidstore",2.12631225121881,0.0466298609522729
"mms_composted",0.267195218581278,0.00585957019361361
"mms_liquid",2.62831142847653,0.0576386635494762
"mms_biogas",2.34286086931568,0.0513787551682922
"mms_burn",0.111752117261052,0.00245071516942914
"feed_prod_CO2",0.0286708066416651,0.000628748541670689
"feed_trans_CO2",0.040202877041529,0.00088164594134905
"kg_FPCM_year",0.0732841047566478,0.00160711467135437
