"enteric_CH4","milk_yield","enteric_CH4_CO2eq","mm_CH4_CO2eq","mm_N2O_CO2eq","feed_CO2","on_farm","pc_enteric_CH4","pc_milk_yield","pc_enteric_CH4_CO2eq","pc_mm_CH4_CO2eq","pc_mm_N2O_CO2eq","pc_feed_CO2","pc_on_farm"
72.3875139087996,5201.48528954524,7160.40835998597,1219.34711624016,803.250173911855,1443.39595052488,10626.4016006629,24.1291713029332,1733.82842984841,2386.80278666199,406.449038746721,267.750057970618,481.131983508295,3542.13386688762
31.4888700822682,5219.20560273933,6659.23669762003,1394.26999955036,1613.70762700627,1106.17124746331,10773.38557164,10.4962900274228,1739.73520091311,2219.74556587334,464.756666516785,537.902542335422,368.723749154437,3591.12852387999
59.9341246634603,4950.51700185291,5748.65693114352,1445.28779666758,896.339086514349,1750.39519696294,9840.67901128839,19.9780415544868,1650.17233395097,1916.21897704784,481.762598889194,298.779695504783,583.465065654312,3280.22633709613
12.8756073484425,4107.05656425057,4946.89958832212,1510.03500680369,1694.13567106358,1328.14878323379,9479.21904942318,4.29186911614749,1369.01885475019,1648.96652944071,503.345002267897,564.711890354526,442.716261077929,3159.73968314106
85.9206989308271,5083.10517406761,7553.83459989117,806.732108641774,881.675334585467,1443.54153314184,10685.7835762602,28.6402329769424,1694.36839135587,2517.94486663039,268.910702880591,293.891778195155,481.18051104728,3561.92785875342
69.6269069201861,5360.33825033054,6241.56605386491,1582.32984182292,1483.04529364181,1098.58362007104,10405.5248094007,23.2089689733954,1786.77941677685,2080.52201795497,527.443280607639,494.348431213937,366.194540023681,3468.50826980023
94.3855844031489,5325.94288750405,6288.90002576923,1581.43693208151,1512.27888229623,1283.5224424605,10666.1382826075,31.4618614677163,1775.31429583468,2096.30000858974,527.14564402717,504.09296076541,427.840814153501,3555.37942753583
53.2010241584721,6021.94851952719,8856.62451434036,1196.49915648921,1554.93374050445,1261.61156379228,12869.6689751263,17.7336747194907,2007.31617317573,2952.20817144679,398.83305216307,518.311246834817,420.53718793076,4289.88965837543
72.1703360508403,4765.95322371631,5729.21260621626,1348.48829954507,657.447629923197,1256.10548631129,8991.25402199582,24.0567786836134,1588.6510745721,1909.73753540542,449.496099848357,219.149209974399,418.701828770431,2997.08467399861
58.4255641054049,5814.28938874599,4404.98302176179,758.422757586605,771.204114804912,1333.1795395318,7267.7894336851,19.475188035135,1938.09646291533,1468.3276739206,252.807585862202,257.068038268304,444.393179843932,2422.59647789503
56.3660633838929,739.130386910751,3417.45990306963,954.33778876315,725.763915735731,193.319849344055,5290.88145691257,18.788687794631,246.376795636917,1139.15330102321,318.112596254383,241.921305245244,64.4399497813516,1763.62715230419
45.8935193306552,1272.70933465936,4080.12439401511,516.616493109818,801.076326385595,172.087538614466,5569.90475212499,15.2978397768851,424.236444886453,1360.0414646717,172.205497703273,267.025442128532,57.3625128714886,1856.634917375
29.9370694743638,1679.6787995719,4538.25605979161,609.711098069356,671.765483742642,210.318769959891,6030.0514115635,9.97902315812126,559.892933190635,1512.75201993054,203.237032689785,223.921827914214,70.106256653297,2010.01713718783
43.3931248869681,1176.23940020786,4287.95143006606,712.933392927639,928.396738376746,128.705774824221,6057.98733619467,14.4643749623227,392.079800069287,1429.31714335535,237.644464309213,309.465579458915,42.901924941407,2019.32911206489
53.7000489431235,1363.13154143042,2960.66552270284,543.756674779732,504.620715707574,178.89601660549,4187.93892979563,17.9000163143745,454.377180476806,986.888507567613,181.252224926577,168.206905235858,59.6320055351634,1395.97964326521
36.4710931867552,1303.55528014956,3248.19905751212,802.693317312025,859.701058304881,205.126747763039,5115.72018089206,12.1570310622517,434.51842671652,1082.73301917071,267.564439104008,286.56701943496,68.3755825876796,1705.24006029735
10.0405247162516,1609.6851318334,3331.36014247461,849.832393896454,678.065905483412,208.547144690738,5067.80558654522,3.34684157208387,536.561710611132,1110.45338082487,283.277464632151,226.021968494471,69.5157148969128,1689.26852884841
86.1495497129912,1100.79072144108,5689.81388304764,966.236790688849,714.730455044683,226.738982964589,7597.52011174576,28.7165165709971,366.93024048036,1896.60462768255,322.078930229616,238.243485014895,75.5796609881963,2532.50670391525
56.7099820731866,1525.80307436183,5934.2523446291,1040.35565085128,842.883619356485,169.48012797138,7986.97174280825,18.9033273577289,508.601024787278,1978.08411487637,346.785216950427,280.961206452162,56.4933759904599,2662.32391426942
63.7714725649816,1303.83056584398,4686.61535380869,459.823315940228,815.530780521647,156.634811710693,6118.60426198126,21.2571575216605,434.610188614659,1562.20511793623,153.274438646743,271.843593507216,52.2116039035643,2039.53475399375
