"enteric_CH4","milk_yield","enteric_CH4_CO2eq","mm_CH4_CO2eq","mm_N2O_CO2eq","feed_CO2","on_farm","pc_enteric_CH4","pc_milk_yield","pc_enteric_CH4_CO2eq","pc_mm_CH4_CO2eq","pc_mm_N2O_CO2eq","pc_feed_CO2","pc_on_farm"
85.9965121161021,5724.098265,6526.46614567478,1279.30411792003,657.241166173725,408.79734239,8871.80877215854,28.6655040387007,1908.032755,2175.48871522493,426.434705973344,219.080388724575,136.265780796667,2957.26959071951
73.1341908876002,5703.376412,5022.62761518742,1405.92816976405,554.215051416496,315.11399872,7297.88483508797,24.3780636292001,1901.12547066667,1674.20920506247,468.642723254683,184.738350472165,105.037999573333,2432.62827836266
55.8608402754806,5799.993226,7823.90754647351,949.661459137251,970.993962512877,522.08372898,10266.6466971036,18.6202800918269,1933.33107533333,2607.96918215784,316.553819712417,323.664654170959,174.02790966,3422.21556570121
42.4637132238375,5779.608633,7149.87617524855,1079.71551839135,1305.19039287379,402.54093137,9937.32301788369,14.1545710746125,1926.536211,2383.29205841618,359.905172797117,435.063464291265,134.180310456667,3312.44100596123
86.0725462087189,4486.113822,6103.52371228616,1318.81212380223,930.833087980333,507.51716094,8860.68608500872,28.6908487362396,1495.371274,2034.50790409539,439.604041267409,310.277695993444,169.17238698,2953.56202833624
81.9274932204977,3655.554789,5573.95357048877,555.194357498863,709.53524054382,538.11970524,7376.80287377145,27.3091644068326,1218.518263,1857.98452349626,185.064785832954,236.51174684794,179.37323508,2458.93429125715
67.0097130518653,4665.605565,5570.95740132076,1126.75949036853,533.290868958242,331.92889066,7562.93665130753,22.3365710172884,1555.201855,1856.98580044025,375.586496789509,177.763622986081,110.642963553333,2520.97888376918
66.7410665592228,5406.496508,5070.85639739609,827.513490229739,857.152236198645,490.33846007,7245.86058389447,22.2470221864076,1802.16550266667,1690.2854657987,275.83783007658,285.717412066215,163.446153356667,2415.28686129816
56.1700120981769,5424.031327,6096.73005832988,1988.47643139074,1132.04376988311,359.72416179,9576.97442139373,18.723337366059,1808.01044233333,2032.24335277663,662.825477130247,377.347923294371,119.90805393,3192.32480713124
72.802151427237,6171.617757,7314.23022282334,2344.90160373723,1440.04670191471,344.55620427,11443.7347327453,24.267383809079,2057.205919,2438.07674094111,781.633867912411,480.015567304903,114.85206809,3814.57824424843
74.3526565438625,1966.310115,4244.0692927419,1519.65613511477,756.036462795345,55.87403822,6575.63592887202,24.7842188479542,655.436705,1414.6897642473,506.552045038256,252.012154265115,18.6246794066667,2191.87864295734
61.154905301962,3266.662765,5599.26007538357,1541.29082611225,1332.50166918911,67.4880604,8540.54063108493,20.3849684339873,1088.88758833333,1866.42002512786,513.763608704084,444.167223063036,22.4960201333333,2846.84687702831
62.551178153915,2182.94893,5451.71811346922,978.259018886733,966.957370388333,77.52803934,7474.46254208429,20.8503927179717,727.649643333333,1817.23937115641,326.086339628911,322.319123462778,25.84267978,2491.4875140281
49.5068892912388,3114.759255,4375.28698964209,852.043960363749,1002.18220417277,49.62029908,6279.13345325861,16.5022964304129,1038.253085,1458.42899654736,284.014653454583,334.060734724256,16.5400996933333,2093.04448441953
68.0660629936257,2727.97788,5996.9743508027,1163.54147840324,1074.05670251581,63.82508935,8298.39762107175,22.6886876645419,909.32596,1998.99145026757,387.847159467746,358.018900838603,21.2750297833333,2766.13254035725
31.0016952949863,3110.177775,4592.67127045167,1079.48527555186,1089.42494374118,60.1193712,6821.70086094471,10.3338984316621,1036.725925,1530.89042348389,359.828425183955,363.141647913726,20.0397904,2273.90028698157
49.7299723316978,2223.38582,4208.39446834877,1065.27317672655,980.583392464341,62.22732391,6316.47836144966,16.5766574438993,741.128606666667,1402.79815611626,355.09105890885,326.861130821447,20.7424413033333,2105.49278714989
75.0066010581192,2767.00441,4560.569745036,854.529326810686,1160.08276921975,52.04902367,6627.23086473643,25.0022003527064,922.334803333333,1520.189915012,284.843108936895,386.694256406583,17.3496745566667,2209.07695491214
75.5031309707744,3134.651025,7394.99335364139,1295.77934117053,863.480154156134,55.41492033,9609.66776929806,25.1677103235915,1044.883675,2464.99778454713,431.926447056843,287.826718052045,18.47164011,3203.22258976602
35.3237412248573,2369.832215,3463.00970980162,519.24529892313,571.142570534538,70.82435029,4624.22192954929,11.7745804082858,789.944071666667,1154.33656993387,173.08176630771,190.380856844846,23.6081167633333,1541.40730984976
72.8462771934116,5258.063929,6562.54115754391,823.546222571567,812.491149407208,813.70927688,9012.28780640269,24.2820923978039,1752.68797633333,2187.5137191813,274.515407523856,270.830383135736,271.236425626667,3004.09593546756
38.0481729419297,3262.757995,6314.27973709918,1182.04167741327,993.742285673488,769.41753643,9259.48123661594,12.6827243139766,1087.58599833333,2104.75991236639,394.01389247109,331.247428557829,256.472512143333,3086.49374553865
51.004099531068,3132.538843,5168.52895485549,1031.17371577479,809.219415720178,697.20993121,7706.13201756045,17.001366510356,1044.17961433333,1722.84298495183,343.724571924929,269.739805240059,232.403310403333,2568.71067252015
26.1461516749759,5320.300882,4991.50955863259,852.0350454167,1309.49753165854,773.93351759,7926.97565329783,8.71538389165864,1773.43362733333,1663.8365195442,284.011681805567,436.499177219514,257.977839196667,2642.32521776594
60.3103964538178,3531.046062,5430.63344198833,907.240638858525,727.937871425933,781.50547501,7847.31742728279,20.1034654846059,1177.015354,1810.21114732944,302.413546286175,242.645957141978,260.501825003333,2615.77247576093
