"enteric_CH4","milk_yield","enteric_CH4_CO2eq","mm_CH4_CO2eq","mm_N2O_CO2eq","feed_CO2","on_farm","pc_enteric_CH4","pc_milk_yield","pc_enteric_CH4_CO2eq","pc_mm_CH4_CO2eq","pc_mm_N2O_CO2eq","pc_feed_CO2","pc_on_farm","CO2eq_per_milk"
69.1756482715475,4904.726847,5676.7990871687,1192.67949578754,423.668273463523,1053.44229086,8346.58914727976,23.0585494238492,1634.908949,1892.26636238957,397.559831929179,141.222757821174,351.147430286667,2782.19638242659,1.70174393144544
30.1456517065267,5354.477073,4461.34178176563,1277.90807995396,1388.66950071678,1330.85870944,8458.77807187638,10.0485505688422,1784.825691,1487.11392725521,425.969359984655,462.88983357226,443.619569813333,2819.59269062546,1.57975801493853
53.3423942247817,6142.315119,4774.84280431597,1215.65048638712,1086.38482880143,1462.97804162,8539.85616112453,17.7807980749272,2047.438373,1591.61426810532,405.216828795708,362.128276267145,487.659347206667,2846.61872037484,1.39033182044149
62.1057919285517,5678.554879,5251.77839423712,1263.01695071286,1056.9037329685,1275.22027642,8846.91935433848,20.7019306428506,1892.85162633333,1750.59279807904,421.005650237621,352.301244322833,425.073425473333,2948.97311811283,1.55795260288062
63.2385527764561,4338.305393,6740.10830257834,958.049544205698,511.011605813447,1317.10372003,9526.27317262748,21.079517592152,1446.10179766667,2246.70276752611,319.349848068566,170.337201937816,439.034573343333,3175.42439087583,2.1958512160067
70.9425550910042,5502.584729,6227.90327140908,693.762947771365,1918.01001573287,1112.17460808,9951.85084299332,23.6475183636681,1834.19490966667,2075.96775713636,231.254315923788,639.336671910957,370.72486936,3317.28361433111,1.80857748369499
46.1436542580084,6529.063206,6387.62315770684,676.668116391394,1181.94457758662,1516.75184787,9762.98769955485,15.3812180860028,2176.354402,2129.20771923561,225.556038797131,393.981525862206,505.58394929,3254.32923318495,1.49531217443001
29.433748738434,5500.77192,7359.96793681939,1012.2111367465,942.556870752934,1465.14528237,10779.8812266888,9.81124957947799,1833.59064,2453.32264560646,337.403712248832,314.185623584311,488.38176079,3593.29374222961,1.95970336226717
35.1500568912223,5662.642777,6644.95041206183,1995.66993585742,1762.70653620843,1022.00247793,11425.3293620577,11.7166856304074,1887.54759233333,2214.98347068728,665.223311952473,587.56884540281,340.667492643333,3808.44312068589,2.01766733519975
98.5853204050424,5138.639871,7270.13446725135,2166.68659483429,1386.21841229141,1117.38559252,11940.4250668971,32.8617734683475,1712.879957,2423.37815575045,722.228864944765,462.072804097136,372.461864173333,3980.14168896569,2.32365477376281
44.8130986677359,760.3778185,2913.30250349835,506.603700584202,988.761624360836,153.31630742,4561.98413586339,22.4065493338679,380.18890925,1456.65125174918,253.301850292101,494.380812180418,76.65815371,2280.9920679317,5.9996281123282
54.8641664879239,1402.241889,4074.21252379301,883.271065217079,512.136000700888,177.87278822,5647.49237793098,27.4320832439619,701.1209445,2037.1062618965,441.63553260854,256.068000350444,88.93639411,2823.74618896549,4.02747373490493
70.5262748654465,1312.7041405,3885.34006901694,814.523490317651,625.985607921369,178.15374623,5504.00291348597,35.2631374327233,656.35207025,1942.67003450847,407.261745158826,312.992803960685,89.076873115,2752.00145674298,4.19287388808687
42.5162866106957,1623.7745145,4125.20043515352,741.842030922142,540.309176919876,194.97914705,5602.33079004554,21.2581433053479,811.88725725,2062.60021757676,370.921015461071,270.154588459938,97.489573525,2801.16539502277,3.45019012185361
67.1534318157129,1879.9543635,4091.79079940084,550.569324246732,513.786093065522,102.99873076,5259.1449474731,33.5767159078565,939.97718175,2045.89539970042,275.284662123366,256.893046532761,51.49936538,2629.57247373655,2.79748543346653
80.986211423626,1623.9950475,4091.03306345024,655.437763672997,1196.14418816027,166.92986818,6109.54488346351,40.493105711813,811.99752375,2045.51653172512,327.718881836498,598.072094080137,83.46493409,3054.77244173176,3.7620464993835
87.5922924822733,1370.470537,3588.62145069596,645.936794391134,621.878903039638,174.39643594,5030.83358406673,43.7961462411367,685.2352685,1794.31072534798,322.968397195567,310.939451519819,87.19821797,2515.41679203336,3.67088051019278
63.6657672017137,1446.2778615,3775.87414201682,709.404133671427,1212.58511503996,185.83947496,5883.7028656882,31.8328836008569,723.13893075,1887.93707100841,354.702066835714,606.292557519979,92.91973748,2941.8514328441,4.06816907201079
44.9443462126772,1387.740001,2839.93415853564,414.532433208059,356.21467681321,214.76223967,3825.44350822691,22.4721731063386,693.8700005,1419.96707926782,207.266216604029,178.107338406605,107.381119835,1912.72175411346,2.75659958311378
60.5827989639097,1105.2998985,3001.86500186694,311.819865953946,538.947779481045,246.28797144,4098.92061874193,30.2913994819549,552.64994925,1500.93250093347,155.909932976973,269.473889740523,123.14398572,2049.46030937097,3.70842395290597
40.3882333254155,4136.195549,4126.62339942102,454.160562107462,762.515872632826,2273.43938926,7616.7392234213,20.1941166627077,2068.0977745,2063.31169971051,227.080281053731,381.257936316413,1136.71969463,3808.36961171065,1.84148431407282
27.6544920223583,4117.043269,3068.88121534436,530.629507263908,772.597647915628,2318.92039417,6691.0287646939,13.8272460111792,2058.5216345,1534.44060767218,265.314753631954,386.298823957814,1159.460197085,3345.51438234695,1.62520243959425
85.2827693972009,2893.358504,4223.14921120631,607.770783303212,826.648148838564,2332.72938675,7990.29753009808,42.6413846986004,1446.679252,2111.57460560315,303.885391651606,413.324074419282,1166.364693375,3995.14876504904,2.76159954566698
