"enteric_CH4","milk_yield","enteric_CH4_CO2eq","mm_CH4_CO2eq","mm_N2O_CO2eq","feed_CO2","on_farm","pc_enteric_CH4","pc_milk_yield","pc_enteric_CH4_CO2eq","pc_mm_CH4_CO2eq","pc_mm_N2O_CO2eq","pc_feed_CO2","pc_on_farm","CO2eq_per_milk"
143.539997698487,4679.525862,9397.11596353226,1272.83096232216,1550.24420831585,1513.48633273,13733.6774669003,47.8466658994958,1559.841954,3132.37198784409,424.276987440719,516.748069438617,504.495444243333,4577.89248896676,2.93484380082699
75.9524137842784,4760.40519,6046.93637900588,1493.19855341087,861.351828338615,938.72153783,9340.20829858537,25.3174712614261,1586.80173,2015.64545966863,497.732851136958,287.117276112872,312.907179276667,3113.40276619512,1.96206161572254
57.2250130779828,4111.265538,5917.39351711033,1768.2507227627,994.162558503797,1521.99280702,10201.7996053968,19.0750043593276,1370.421846,1972.46450570344,589.416907587568,331.387519501266,507.330935673333,3400.59986846561,2.48142561240636
73.7718307405402,7042.225247,8013.07375198343,1299.00792689183,734.646232512072,1407.2044485,11453.9323598873,24.5906102468467,2347.40841566667,2671.02458399448,433.002642297278,244.882077504024,469.0681495,3817.97745329578,1.62646492524032
67.8265107664956,4066.376159,5192.86546348254,1379.5496885825,987.944699429934,1287.99040329,8848.35025478497,22.6088369221652,1355.45871966667,1730.95515449418,459.849896194167,329.314899809978,429.33013443,2949.45008492832,2.17597927707725
32.3798397283342,4648.635182,5826.09946128688,1362.71673042353,1229.83244888174,927.65183885,9346.30047944215,10.7932799094447,1549.54506066667,1942.03315376229,454.238910141177,409.944149627248,309.217279616667,3115.43349314738,2.01054720655043
53.4674158863255,4877.782474,6030.79190128547,656.89069337368,1083.79641224206,1177.33070655,8948.80971345121,17.8224719621085,1625.92749133333,2010.26396709516,218.963564457893,361.265470747353,392.44356885,2982.9365711504,1.83460614759903
70.380977079718,6613.552092,4957.72181864103,902.888874595759,1272.95746131581,1514.2966526,8647.86480715261,23.4603256932393,2204.517364,1652.57393954701,300.962958198586,424.319153771938,504.765550866667,2882.6216023842,1.30759759458361
71.8627541114935,6128.679814,7522.53334033963,1777.71219064171,1316.08364208124,1028.96542895,11645.2946020126,23.9542513704978,2042.89327133333,2507.51111344654,592.570730213902,438.694547360415,342.988476316667,3881.76486733753,1.90013101604864
16.666516273322,4317.941021,6009.05886398255,1261.24328996011,766.506207218172,1493.45414017,9530.26250133084,5.55550542444068,1439.31367366667,2003.01962132752,420.414429986705,255.502069072724,497.818046723333,3176.75416711028,2.20713123569337
79.5343170685133,2218.056382,4385.74206935948,899.318371464107,1178.98009754752,177.99082187,6642.0313602411,26.5114390228378,739.352127333333,1461.91402311983,299.772790488036,392.993365849172,59.3302739566667,2214.0104534137,2.99452773795229
56.5092563921885,1739.5077655,4742.36708547424,872.624366990971,957.243359165338,145.57995111,6717.81476274055,18.8364187973962,579.835921833333,1580.78902849141,290.874788996991,319.081119721779,48.52665037,2239.27158758018,3.86190558960201
41.254351545659,1748.326056,4768.11514005105,448.391924179441,577.705925640076,174.21771562,5968.43070549057,13.7514505152197,582.775352,1589.37171335035,149.46397472648,192.568641880025,58.0725718733333,1989.47690183019,3.41379726339248
51.0989211368245,1455.19587,4867.77123853753,1115.64552194312,683.66617279946,149.13417928,6816.21711256011,17.0329737122748,485.06529,1622.59041284584,371.881840647707,227.888724266487,49.7113930933333,2272.07237085337,4.68405474003998
12.3880914441061,1265.157817,5075.77051444473,831.397353425937,1382.03501170324,183.40690475,7472.60978432391,4.12936381470205,421.719272333333,1691.92350481491,277.132451141979,460.678337234413,61.1356349166667,2490.86992810797,5.90646454056088
14.4302928934105,2038.266872,3794.15868792012,534.92274316412,745.064813258122,216.12850317,5290.27474751237,4.81009763113683,679.422290666667,1264.71956264004,178.307581054707,248.354937752707,72.04283439,1763.42491583746,2.59547698104979
38.5816403536264,1963.62846,5214.86695544787,768.309221943875,1205.49385746512,138.29039504,7326.96042989686,12.8605467845421,654.54282,1738.28898514929,256.103073981292,401.831285821705,46.0967983466667,2442.32014329895,3.73133745978445
86.049354271956,1433.4032895,5042.24446693343,842.868970325598,768.693293800686,195.25714047,6849.06387152972,28.683118090652,477.8010965,1680.74815564448,280.956323441866,256.231097933562,65.08571349,2283.02129050991,4.77818344753402
80.4877202890109,1456.1506735,3778.37540469263,686.520404963191,879.915135415506,163.20211902,5508.01306409132,26.829240096337,485.383557833333,1259.45846823088,228.84013498773,293.305045138502,54.40070634,1836.00435469711,3.78258456650799
48.8654314807346,1592.700349,4493.7455480722,556.082992978208,530.334204784745,141.90459955,5722.06734538515,16.2884771602449,530.900116333333,1497.91518269073,185.360997659403,176.778068261582,47.3015331833333,1907.35578179505,3.59268292304817
69.7126217472645,3642.217032,6675.80711075146,535.068279403662,1044.28640349539,2230.04452509,10485.2063187405,23.2375405824215,1214.072344,2225.26903691715,178.356093134554,348.095467831796,743.34817503,3495.0687729135,2.87879778349807
40.2455790472441,4299.081471,4754.58001222884,781.558195332803,971.713056482358,2747.06357662,9254.914840664,13.415193015748,1433.027157,1584.86000407628,260.519398444268,323.904352160786,915.687858873333,3084.97161355467,2.15276563216915
26.8254972472987,3870.674474,4287.58680439891,853.629109440447,660.342977646062,2431.53227265,8233.09116413542,8.94183241576624,1290.22482466667,1429.1956014663,284.543036480149,220.114325882021,810.51075755,2744.36372137847,2.12704303072721
