"enteric_CH4","milk_yield","enteric_CH4_CO2eq","mm_CH4_CO2eq","mm_N2O_CO2eq","feed_CO2","on_farm","pc_enteric_CH4","pc_milk_yield","pc_enteric_CH4_CO2eq","pc_mm_CH4_CO2eq","pc_mm_N2O_CO2eq","pc_feed_CO2","pc_on_farm"
85.9965121161021,5724.098265,6526.46614567478,1279.30411792003,657.241166173725,408.79734239,8871.80877215854,28.6655040387007,1908.032755,2175.48871522493,426.434705973344,219.080388724575,136.265780796667,2957.26959071951
73.1341908876002,5703.376412,5022.62761518742,1405.92816976405,554.215051416496,315.11399872,7297.88483508797,24.3780636292001,1901.12547066667,1674.20920506247,468.642723254683,184.738350472165,105.037999573333,2432.62827836266
55.8608402754806,5799.993226,7823.90754647351,949.661459137251,970.993962512877,522.08372898,10266.6466971036,18.6202800918269,1933.33107533333,2607.96918215784,316.553819712417,323.664654170959,174.02790966,3422.21556570121
42.4637132238375,5779.608633,7149.87617524855,1079.71551839135,1305.19039287379,402.54093137,9937.32301788369,14.1545710746125,1926.536211,2383.29205841618,359.905172797117,435.063464291265,134.180310456667,3312.44100596123
86.0725462087189,4486.113822,6103.52371228616,1318.81212380223,930.833087980333,507.51716094,8860.68608500872,28.6908487362396,1495.371274,2034.50790409539,439.604041267409,310.277695993444,169.17238698,2953.56202833624
81.9274932204977,3655.554789,5573.95357048877,555.194357498863,709.53524054382,538.11970524,7376.80287377145,27.3091644068326,1218.518263,1857.98452349626,185.064785832954,236.51174684794,179.37323508,2458.93429125715
67.0097130518653,4665.605565,5570.95740132076,1126.75949036853,533.290868958242,331.92889066,7562.93665130753,22.3365710172884,1555.201855,1856.98580044025,375.586496789509,177.763622986081,110.642963553333,2520.97888376918
66.7410665592228,5406.496508,5070.85639739609,827.513490229739,857.152236198645,490.33846007,7245.86058389447,22.2470221864076,1802.16550266667,1690.2854657987,275.83783007658,285.717412066215,163.446153356667,2415.28686129816
56.1700120981769,5424.031327,6096.73005832988,1988.47643139074,1132.04376988311,359.72416179,9576.97442139373,18.723337366059,1808.01044233333,2032.24335277663,662.825477130247,377.347923294371,119.90805393,3192.32480713124
72.802151427237,6171.617757,7314.23022282334,2344.90160373723,1440.04670191471,344.55620427,11443.7347327453,24.267383809079,2057.205919,2438.07674094111,781.633867912411,480.015567304903,114.85206809,3814.57824424843
74.3526565438625,1028.1315985,3144.84023235308,1145.49993358806,564.102143517754,55.87403822,4910.31634767889,37.1763282719312,514.06579925,1572.42011617654,572.74996679403,282.051071758877,27.93701911,2455.15817383945
61.154905301962,1708.051518,4064.5242273038,1151.88066269131,979.849548218664,67.4880604,6263.74249861377,30.577452650981,854.025759,2032.2621136519,575.940331345653,489.924774109332,33.7440302,3131.87124930689
62.551178153915,1141.406319,4175.03965358684,762.293564134415,746.396736473543,77.52803934,5761.2579935348,31.2755890769575,570.7031595,2087.51982679342,381.146782067207,373.198368236771,38.76401967,2880.6289967674
49.5068892912388,1628.625255,3089.26750643993,595.485237559522,716.160625434126,49.62029908,4450.53366851358,24.7534446456194,814.3126275,1544.63375321997,297.742618779761,358.080312717063,24.81014954,2225.26683425679
68.0660629936257,1426.3875515,4279.03558417613,844.949601723003,773.603602565661,63.82508935,5961.41387781479,34.0330314968128,713.19377575,2139.51779208807,422.474800861501,386.801801282831,31.912544675,2980.7069389074
31.0016952949863,1626.229614,3471.85933863217,824.988709485678,833.770151147206,60.1193712,5190.73757046505,15.5008476474932,813.114807,1735.92966931608,412.494354742839,416.885075573603,30.0596856,2595.36878523253
49.7299723316978,1162.5496375,3117.19303333292,795.502981537337,731.712157405189,62.22732391,4706.63549618544,24.8649861658489,581.27481875,1558.59651666646,397.751490768669,365.856078702594,31.113661955,2353.31774809272
75.0066010581192,1446.793424,3304.89945759599,621.801226083979,849.1597447637,52.04902367,4827.90945211367,37.5033005290596,723.396712,1652.44972879799,310.90061304199,424.57987238185,26.024511835,2413.95472605683
75.5031309707744,1639.026076,5613.34791065999,992.823705376333,663.028945182593,55.41492033,7324.61548154891,37.7515654853872,819.513038,2806.67395532999,496.411852688167,331.514472591297,27.707460165,3662.30774077446
35.3237412248573,1239.122513,2544.383408524,392.385813269315,423.002814518919,70.82435029,3430.59638660223,17.6618706124287,619.5612565,1272.191704262,196.192906634658,211.501407259459,35.412175145,1715.29819330112
72.8462771934116,5258.063929,5001.75209194833,626.277706346544,613.273808825323,813.70927688,7055.0128840002,36.4231385967058,2629.0319645,2500.87604597416,313.138853173272,306.636904412661,406.85463844,3527.5064420001
38.0481729419297,3262.757995,4482.30745177645,884.846141986632,700.1710345657,769.41753643,6836.74216475878,19.0240864709648,1631.3789975,2241.15372588822,442.423070993316,350.08551728285,384.708768215,3418.37108237939
51.004099531068,3132.538843,3832.90854860281,750.69983104357,596.294476591283,697.20993121,5877.11278744766,25.502049765534,1566.2694215,1916.4542743014,375.349915521785,298.147238295642,348.604965605,2938.55639372383
26.1461516749759,5320.300882,3713.42703611639,634.305738448576,963.295969952621,773.93351759,6084.96226210758,13.073075837488,2660.150441,1856.71351805819,317.152869224288,481.647984976311,386.966758795,3042.48113105379
60.3103964538178,3531.046062,3972.91573022069,668.329428207246,528.777793439134,781.50547501,5951.52842687707,30.1551982269089,1765.523031,1986.45786511034,334.164714103623,264.388896719567,390.752737505,2975.76421343854
56.1632963474485,3610.001475,3111.99747503907,789.45268685521,710.894078793268,753.12733706,5365.47157774755,28.0816481737243,1805.0007375,1555.99873751954,394.726343427605,355.447039396634,376.56366853,2682.73578887378
